Statistical profiling result from isolate-0x140008000-75619-v8.log, (20595 ticks, 18236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    703    3.4%          /Users/pliffdax/.nvm/versions/node/v22.16.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: *unenroll node:timers:76:18
      2    0.0%    0.0%  JS: *set node:internal/streams/writable:262:8
      2    0.0%    0.0%  JS: *set node:internal/streams/readable:133:8
      2    0.0%    0.0%  JS: *resume_ node:internal/streams/readable:1254:17
      2    0.0%    0.0%  JS: *request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:6179
      2    0.0%    0.0%  JS: *remove node:internal/linkedlist:16:16
      2    0.0%    0.0%  JS: *pushAsyncContext node:internal/async_hooks:539:26
      2    0.0%    0.0%  JS: *pipesFn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:143:25
      2    0.0%    0.0%  JS: *onParserExecute node:_http_server:845:25
      2    0.0%    0.0%  JS: *normalizeString node:path:78:25
      2    0.0%    0.0%  JS: *matchKnownFields node:_http_incoming:276:26
      2    0.0%    0.0%  JS: *isEmpty /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_rxjs@7.8.2/node_modules/@nestjs/common/utils/shared.utils.js:48:17
      2    0.0%    0.0%  JS: *isBuffer node:buffer:552:36
      2    0.0%    0.0%  JS: *getPropertyValue /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:15958
      2    0.0%    0.0%  JS: *getColorDepth node:internal/tty:106:23
      2    0.0%    0.0%  JS: *getActiveContext /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:1477
      2    0.0%    0.0%  JS: *endReadableNT node:internal/streams/readable:1692:23
      2    0.0%    0.0%  JS: *corsMiddleware /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:203:35
      2    0.0%    0.0%  JS: *clearIncoming node:_http_server:967:23
      2    0.0%    0.0%  JS: *callback node:internal/streams/writable:764:63
      2    0.0%    0.0%  JS: *assert node:internal/assert:8:16
      2    0.0%    0.0%  JS: *_write node:internal/streams/writable:453:16
      2    0.0%    0.0%  JS: *_request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:8912
      2    0.0%    0.0%  JS: *_flush node:_http_outgoing:1192:51
      2    0.0%    0.0%  JS: *_destroy node:_http_incoming:218:55
      2    0.0%    0.0%  JS: *Stream node:internal/streams/legacy:11:16
      2    0.0%    0.0%  JS: *Socket._writeGeneric node:net:940:42
      2    0.0%    0.0%  JS: *OutgoingMessage node:_http_outgoing:105:25
      2    0.0%    0.0%  JS: *AsyncResource node:async_hooks:168:14
      2    0.0%    0.0%  JS: *<anonymous> node:_http_outgoing:667:44
      2    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:40:16
      2    0.0%    0.0%  Builtin: Typeof
      2    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
      2    0.0%    0.0%  Builtin: SuspendGeneratorBaseline
      2    0.0%    0.0%  Builtin: StoreFastElementIC_NoTransitionGrowAndHandleCOW
      2    0.0%    0.0%  Builtin: StoreFastElementIC_InBounds
      2    0.0%    0.0%  Builtin: SetPrototypeAdd
      2    0.0%    0.0%  Builtin: SetConstructor
      2    0.0%    0.0%  Builtin: ResumeGeneratorBaseline
      2    0.0%    0.0%  Builtin: ReflectApply
      2    0.0%    0.0%  Builtin: ObjectCreate
      2    0.0%    0.0%  Builtin: KeyedHasIC_PolymorphicName
      2    0.0%    0.0%  Builtin: JSRunMicrotasksEntry
      2    0.0%    0.0%  Builtin: JSEntryTrampoline
      2    0.0%    0.0%  Builtin: InterpreterPushArgsThenFastConstructFunction
      2    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      2    0.0%    0.0%  Builtin: InstanceOf_Baseline
      2    0.0%    0.0%  Builtin: Increment_Baseline
      2    0.0%    0.0%  Builtin: HandleApiCallOrConstruct
      2    0.0%    0.0%  Builtin: ForInEnumerate
      2    0.0%    0.0%  Builtin: ErrorConstructor
      2    0.0%    0.0%  Builtin: EnqueueMicrotask
      2    0.0%    0.0%  Builtin: DefineNamedOwnICBaseline
      2    0.0%    0.0%  Builtin: CopyDataProperties
      2    0.0%    0.0%  Builtin: Construct
      2    0.0%    0.0%  Builtin: CallForwardVarargs
      2    0.0%    0.0%  Builtin: CallApiGetter
      2    0.0%    0.0%  Builtin: CallApiCallbackGeneric
      2    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      2    0.0%    0.0%  Builtin: BitwiseNot_Baseline
      2    0.0%    0.0%  Builtin: AsyncFunctionAwaitResolveClosure
      2    0.0%    0.0%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      2    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
      2    0.0%    0.0%  Builtin: ArrayIndexOf
      2    0.0%    0.0%  Builtin: ArrayIncludes
      1    0.0%    0.0%  RegExp: ^(?:\/users\/([^\/]+))(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/swagger-yaml)(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/swagger)(?:\/$)?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^(?:\/swagger)(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/questions\/([^\/]+))(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/profiles\/complete)(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/profiles\/([^\/]+))(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/categories\/([^\/]+))(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/categories)(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:\/answers\/([^\/]+))(?:\/$)?$
      1    0.0%    0.0%  RegExp: ^(?:RS|PS|ES)
      1    0.0%    0.0%  RegExp: ^(?:RS|PS)
      1    0.0%    0.0%  RegExp: :\d{4}$|[^0-9a-z]
      1    0.0%    0.0%  JS: ^wt /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:21:34984
      1    0.0%    0.0%  JS: ^write_ node:_http_outgoing:942:16
      1    0.0%    0.0%  JS: ^writeOrBuffer node:internal/streams/writable:548:23
      1    0.0%    0.0%  JS: ^writeHead node:_http_server:348:19
      1    0.0%    0.0%  JS: ^write node:string_decoder:94:47
      1    0.0%    0.0%  JS: ^wrap /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:321:15
      1    0.0%    0.0%  JS: ^vn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:5500
      1    0.0%    0.0%  JS: ^value node:internal/console/constructor:270:20
      1    0.0%    0.0%  JS: ^utcDate node:internal/http:17:17
      1    0.0%    0.0%  JS: ^update node:internal/crypto/hash:107:40
      1    0.0%    0.0%  JS: ^unpack /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:7878
      1    0.0%    0.0%  JS: ^unenroll node:timers:76:18
